Tiempo	ya	va	ve	ye
6.339999999999909	366.44156000000476	-52.13199999999912	-52.131999999999685	366.1309000000004
6.349999999999909	365.91975000000474	-52.229999999999116	-52.229999999999684	365.6086000000004
6.359999999999909	365.39696000000475	-52.32799999999911	-52.32799999999968	365.0853200000004
6.369999999999909	364.8731900000048	-52.42599999999911	-52.42599999999968	364.56106000000045
6.379999999999908	364.34844000000476	-52.523999999999106	-52.52399999999968	364.03582000000046
6.389999999999908	363.8227100000048	-52.621999999999105	-52.62199999999968	363.50960000000043
6.399999999999908	363.2960000000048	-52.719999999999104	-52.71999999999968	362.98240000000044
6.409999999999908	362.7683100000049	-52.8179999999991	-52.81799999999968	362.4542200000004
6.419999999999908	362.2396400000049	-52.9159999999991	-52.91599999999968	361.9250600000004
6.429999999999907	361.7099900000049	-53.01399999999909	-53.013999999999676	361.3949200000004
6.439999999999907	361.1793600000049	-53.11199999999909	-53.111999999999675	360.8638000000004
6.449999999999907	360.647750000005	-53.20999999999909	-53.209999999999674	360.3317000000004
6.459999999999907	360.11516000000495	-53.30799999999909	-53.30799999999967	359.7986200000004
6.4699999999999065	359.58159000000495	-53.40599999999909	-53.40599999999967	359.2645600000004
6.479999999999906	359.047040000005	-53.50399999999909	-53.50399999999967	358.72952000000043
6.489999999999906	358.51151000000505	-53.60199999999909	-53.60199999999967	358.1935000000004
6.499999999999906	357.975000000005	-53.69999999999908	-53.69999999999967	357.65650000000045
6.509999999999906	357.4375100000051	-53.79799999999908	-53.79799999999967	357.11852000000044
6.519999999999905	356.8990400000051	-53.89599999999908	-53.89599999999967	356.57956000000047
6.529999999999905	356.35959000000514	-53.993999999999076	-53.993999999999666	356.03962000000047
6.539999999999905	355.8191600000051	-54.091999999999075	-54.091999999999665	355.4987000000005
6.549999999999905	355.27775000000514	-54.189999999999074	-54.189999999999664	354.9568000000005
6.559999999999905	354.73536000000513	-54.28799999999907	-54.28799999999966	354.41392000000053
6.569999999999904	354.19199000000515	-54.38599999999907	-54.38599999999966	353.87006000000054
6.579999999999904	353.6476400000052	-54.48399999999907	-54.48399999999966	353.3252200000005
6.589999999999904	353.1023100000052	-54.58199999999907	-54.58199999999966	352.7794000000005
6.599999999999904	352.55600000000527	-54.679999999999055	-54.67999999999966	352.2326000000005
6.6099999999999035	352.0087100000053	-54.777999999999054	-54.77799999999966	351.6848200000005
6.619999999999903	351.4604400000053	-54.87599999999905	-54.87599999999966	351.1360600000005
6.629999999999903	350.9111900000053	-54.97399999999905	-54.973999999999656	350.5863200000005
6.639999999999903	350.3609600000053	-55.07199999999905	-55.071999999999655	350.0356000000005
